대명에너지|2022/03/16|-|%|-|-%|-|%|예정
지투파워|2022/03/14|-|%|-|-%|-|%|예정
브이씨|2022/02/24|-|%|-|-%|-|%|예정
바이오에프디엔씨|2022/02/21|-|%|28000|-%|-|%|예정
한국스팩10호|2022/02/21|-|%|2000|-%|-|%|예정
인카금융서비스|2022/02/16|-|%|18000|-%|-|%|예정
나래나노텍|2022/02/08|-|%|17500|-%|-|%|예정
아셈스|2022/02/07|-|%|8000|-%|-|%|예정
현대에너지솔루션|2019/11/19|21200|0.24%|18000|17.78%|18200|1.11%|17300
에스제이그룹|2019/11/18|20800|2.46%|38600|-46.11%|43500|12.69%|46400
제테마|2019/11/14|17800|2.89%|21000|-15.24%|20100|-4.29%|22450
한화시스템|2019/11/13|14700|2.80%|12250|20%|11600|-5.31%|11100
라파스|2019/11/11|29950|10.11%|20000|49.75%|19950|-0.25%|18050
아이티엠반도체|2019/11/07|38700|1.18%|26000|48.85%|26750|2.88%|24700
자이에스앤디|2019/11/06|9380|4.22%|5200|80.38%|6650|27.88%|6120
미래에셋대우스팩4호|2019/11/06|-|%|2000|%|2000|0%|2000
미디어젠|2019/11/05|12200|4.72%|10600|15.09%|11250|6.13%|9150
하나금융스팩14호|2019/11/01|-|%|2000|%|2000|0%|2005
신한스팩6호|2019/10/31|-|%|2000|%|2010|0.5%|2010
티라유텍|2019/10/31|13200|-0.38%|12050|9.54%|24100|100%|20650
롯데리츠|2019/10/30|5180|0.78%|5000|3.6%|5000|0%|6500
지누스|2019/10/30|66600|6.05%|70000|-4.86%|73500|5%|83000
교보스팩9호|2019/10/29|-|%|2000|%|2010|0.5%|2010
캐리소프트|2019/10/29|11100|-0.45%|9000|23.33%|12100|34.44%|13850
케이엔제이|2019/10/25|14100|2.17%|11000|28.18%|15700|42.73%|14900
엔바이오니아|2019/10/24|12200|5.63%|8200|48.78%|10700|30.49%|12100
팜스빌|2019/10/22|16650|0.60%|14000|18.93%|16800|20%|14350
라온피플|2019/10/18|13900|3.35%|14000|-0.71%|13300|-5%|15550
아톤|2019/10/17|36450|2.39%|43000|-15.23%|46050|7.09%|42850
녹십자웰빙|2019/10/14|8780|2.09%|11300|-22.3%|11900|5.31%|12500
대신밸런스스팩7호|2019/10/11|-|%|2000|%|2025|1.25%|2025
유진스팩5호|2019/10/02|-|%|2000|%|2045|2.25%|2045
케이비스팩19호|2019/09/30|-|%|2000|%|2045|2.25%|2050
올리패스|2019/09/20|7460|1.08%|20000|-62.7%|30600|53%|24800
라닉스|2019/09/18|8150|3.03%|6000|35.83%|7100|18.33%|8090
하나금융스팩13호|2019/09/18|-|%|2000|%|2040|2%|2070
한독크린텍|2019/09/05|10400|2.46%|15100|-31.13%|24500|62.25%|19250
상상인이안스팩2호|2019/08/30|-|%|2000|%|2150|7.5%|2035
네오크레마|2019/08/22|21150|3.93%|8000|164.38%|9530|19.13%|8370
미래에셋대우스팩3호|2019/08/20|-|%|2000|%|2120|6%|-
마니커에프앤지|2019/08/20|4110|2.24%|4000|2.75%|8000|100%|6950
나노브릭|2019/08/19|2925|2.81%|16000|-81.72%|14400|-10%|14800
에스피시스템스|2019/08/14|8400|5.00%|4900|71.43%|9800|100%|12700
레이|2019/08/08|24400|4.27%|20000|22%|25150|25.75%|24750
