UNLISTED|951366|오믹시스|물리화학및생물학연구개발업|0억원|2020.08.07
UNLISTED|950034|정우산기|탭밸브및유사장치제조업|21억원|2007.12.21
UNLISTED|951367|옵토레인|다이오드트랜지스터및유사반도체소자제조업|0억원|2020.08.10
UNLISTED|950033|IBK캐피탈(구.기은캐피탈)|그외기타여신금융업|1655억원|2007.12.21
UNLISTED|951364|엠디바이오랩|의학및약학연구개발업|0억원|2020.08.06
UNLISTED|951365|액트너랩|번역및통역서비스업|0억원|2020.08.06
UNLISTED|950035|엑트통신기술|제조.서비스..무역|4억원|2007.12.24
UNLISTED|951362|엑스큐어넷|시스템소프트웨어개발및공급업|0억원|2020.08.05
UNLISTED|950030|네프로아이티|데이터베이스및온라인정보제공업|0억원|2008.08.11
UNLISTED|951363|엔드림|온라인·모바일게임소프트웨어개발및공급업|90억원|2020.08.06
UNLISTED|825682|와이어트(구.하시스)|시스템소프트웨어개발및공급업|0억원|2012.02.03
UNLISTED|950032|한국지역난방기술|기타엔지니어링서비스업|44억원|2007.12.21
UNLISTED|950031|유니젠|그외기타식료품제조업|41억원|2007.12.18
UNLISTED|813685|리본게임즈(구.씨제이게임랩)|출판업|0억원|2012.02.03
UNLISTED|951328|비티엘첨단소재|축전지제조업|8억원|2020.07.13
UNLISTED|000110|한국스탠다드차타드제일은행|국내은행|10296억원|2003.09.25
UNLISTED|349200|뉴트리원|기타가공식품도매업|35억원|2020.08.13
UNLISTED|951326|비브로스|데이터베이스및온라인정보제공업|0억원|2020.07.10
UNLISTED|951324|베스트텍시스템|컴퓨터및주변장치소프트웨어도매업|0억원|2020.07.09
UNLISTED|043280|아이인터넷|기타소프트웨어자문개발및공급업|11억원|2003.05.22
UNLISTED|951325|디지소닉|음악및기타오디오물출판업|0억원|2020.07.10
UNLISTED|067250|STX조선해양|조선해양건조업|1067억원|2003.10.28
UNLISTED|313250|신진화학|플라스틱발포성형제품제조업|4억원|2012.02.03
KOSDAQ|217480|에스디생명공학|화장품제조업|110억원|2015.06.12
UNLISTED|812351|스타코|선박구성부분품제조업|0억원|2012.02.03
UNLISTED|800374|동부팜가야|기타비알콜음료제조업|0억원|2012.02.03
KOSDAQ|140410|메지온(구.동아팜텍)|의학및약학연구개발업|41억원|2011.01.06
KOSPI|002780|진흥기업|도로건설업|733억원|2021.03.12
KOSPI|001450|현대해상화재보험|업계2위권손해보험회사|447억원|2002.11.20
UNLISTED|951332|크로엔|기타전문서비스업|0억원|2020.07.14
UNLISTED|099690|윌테크놀러지|물질검사측정및분석기구제조업|28억원|2012.02.03
KOSPI|000120|씨제이대한통운|국내최대물류기업에서글로벌기업으로도약중|1141억원|2002.11.20
UNLISTED|951330|이뮤니스바이오|완제의약품제조업|23억원|2020.07.14
K_OTC|026710|동진건설|토목건설업|34억원|2005.09.30
K_OTC|104770|IBK투자증권|증권및선물중개업|6309억원|2012.11.06
UNLISTED|951339|싸이터스에이치앤비|의학및약학연구개발업|0억원|2020.07.17
KOSPI|000100|유한양행|의약품원료의약품화학약품등제조및판매|595억원|2002.11.20
KOSPI|001430|세아베스틸|특수강철도차량부품자동차부품제조업체|1793억원|2004.05.04
UNLISTED|313260|신진에스피이|자동차차체용부품제조업|1억원|2021.03.22
UNLISTED|951335|센서뷰|기타무선통신장비제조업|0억원|2020.07.15
UNLISTED|951336|스노우파이프|기타게임소프트웨어개발및공급업|0억원|2020.07.16
UNLISTED|183590|한국피엠지제약|완제의약품제조업|24억원|2012.02.03
KOSDAQ|272290|이녹스첨단소재|기타전자부품제조업|48억원|2021.03.17
UNLISTED|217490|웰스바이오|제약보건바이오|125억원|2015.04.09
UNLISTED|115410|케이디이노베이션|특수목적용기계제조업|15억원|2014.01.15
UNLISTED|950012|넥스존|기타소프트웨어자문개발및공급업|16억원|2007.11.28
