에이비엘바이오|15000|한국투자증권|2018.12.06~12.07|2018.12.06|2018.12.07|2018.12.06|13000~17000|13000~17000|13000~17000|78000|78000|60.08:1|10.99%|2018.12.11~12.12|2018.12.11|2018.12.12|0.78:1|true|true|true|true|2018/12/19|28050|1.45%|87%|13500|-10%|13650
케이엔더블유|11000|키움닷컴증권|2009.09.10~09.11|2009.09.10|2009.09.11|2009.09.10|9000~11000|9000~11000|9000~11000|8100|8100||-|2009.09.17~09.18|2009.09.17|2009.09.18|538.61:1|true|true|true|true|2009/09/29|-|%|%|16000|45.45%|13600
피앤이솔루션|8000|교보증권|2011.09.06~09.07|2011.09.06|2011.09.07|2011.09.06|7000~8000|7000~8000|7000~8000|12000|12000||-|2011.09.15~09.16|2011.09.15|2011.09.16|867.62:1|true|true|true|true|2011/09/27|-|%|%|8110|1.38%|7070
나노캠텍|7000|한국투자증권|2007.01.08~-|2007.01.08|null|2007.01.08|7900~8800|7900~8800|7900~8800|7000|7000||89.46%|2007.01.16~01.18|2007.01.16|2007.01.18|1113.83:1|true|true|true|true|2007/01/30|-|%|%|13000|85.71%|11050
범우이엔지|15200|동원증권|2005.11.15~-|2005.11.15|null|2005.11.15|12000~16000|12000~16000|12000~16000|20064|20064||-|2005.11.22~11.24|2005.11.22|2005.11.24|527.38:1|true|true|true|false|null|null|null|null|null|null|null
레이|20000|한국투자증권,DB금융투자|2019.07.22~07.23|2019.07.22|2019.07.23|2019.07.22|17000~20000|17000~20000|17000~20000|17000|17000|1013.19:1|10.27%|2019.07.29~07.30|2019.07.29|2019.07.30|779.56:1|true|true|true|true|2019/08/08|24400|4.27%|22%|25150|25.75%|24750
진시스템|20000|삼성증권|2021.05.06~05.07|2021.05.06|2021.05.07|2021.05.06|16000~20000|16000~20000|16000~20000|22800|22800|934.07:1|1.50%|2021.05.13~05.14|2021.05.13|2021.05.14|354.58:1|true|true|true|true|2021/05/26|10350|8.83%|-48.25%|19100|-4.5%|17400
에치디프로|8900|대신증권|2015.09.23~09.24|2015.09.23|2015.09.24|2015.09.23|7800~8900|7800~8900|7800~8900|11826|11826|362.84:1|6.21%|2015.10.01~10.02|2015.10.01|2015.10.02|843.36:1|true|true|true|true|2015/10/13|-|%|%|9580|7.64%|8650
신한스팩5호|2000|신한금융투자|2019.06.04~06.05|2019.06.04|2019.06.05|2019.06.04|2000~2000|2000~2000|2000~2000|8000|8000||-|2019.06.10~06.11|2019.06.10|2019.06.11|654:1|true|true|true|true|2019/06/19|-|%|%|3860|93%|2805
아이크래프트|6000|미래에셋증권|2004.12.15~-|2004.12.15|null|2004.12.15|6500~8000|6500~8000|6500~8000|5438|5438||-|2004.12.21~12.23|2004.12.21|2004.12.23||true|true|true|false|null|null|null|null|null|null|null
그린소프트켐|11600|굿모닝신한|2005.09.22~-|2005.09.22|null|2005.09.22|10700~12700|10700~12700|10700~12700|6960|6960||-|2005.10.05~10.07|2005.10.05|2005.10.07|416.17:1|true|true|true|false|null|null|null|null|null|null|null
비트나인|11000|하나금융투자|2021.10.25~10.26|2021.10.25|2021.10.26|2021.10.25|8700~9700|8700~9700|8700~9700|18017|18017|1662.29:1|5.96%|2021.11.01~11.02|2021.11.01|2021.11.02|589.64:1|true|true|true|true|2021/11/10|14600|5.04%|32.73%|15250|38.64%|11400
오스코텍|9000|대우증권,신흥증권|2006.12.28~-|2006.12.28|null|2006.12.28|17000~21000|17000~21000|17000~21000|10800|10800||68.39%|2007.01.03~01.05|2007.01.03|2007.01.05|605.94:1|true|true|true|true|2006/01/17|-|%|%|13000|44.44%|14950
이노뎁|18000|하이투자증권|2021.06.03~06.04|2021.06.03|2021.06.04|2021.06.03|14000~18000|14000~18000|14000~18000|14700|14700|1573.93:1|6.05%|2021.06.09~06.10|2021.06.09|2021.06.10|692.12:1|true|true|true|true|2021/06/18|18900|-1.31%|5%|22200|23.33%|18050
한라레벨|8600|대우증권|2007.05.03~-|2007.05.03|null|2007.05.03|8000~9000|8000~9000|8000~9000|15480|15480||99.52%|2007.05.09~05.11|2007.05.09|2007.05.11|602.61:1|true|true|true|true|2007/05/22|-|%|%|17200|100%|19750
이지트로닉스|22000|NH투자증권|2022.01.13~01.14|2022.01.13|2022.01.14|2022.01.13|19000~22000|19000~22000|19000~22000|37620|37620|1343.51:1|2.94%|2022.01.20~01.21|2022.01.20|2022.01.21|887.40:1|true|true|true|true|2022/02/04|40000|0.00%|81.82%|-|%|예정
원방테크|54300|미래에셋대우|2020.09.08~09.09|2020.09.08|2020.09.09|2020.09.08|43000~54300|43000~54300|43000~54300|55156|55156|406.8:1|3.20%|2020.09.15~09.16|2020.09.15|2020.09.16|348.77:1|true|true|true|true|2020/09/24|12800|1.19%|-76.43%|48900|-9.94%|43700
KSS해운|65000|우리투자증권|2007.10.10~-|2007.10.10|null|2007.10.10|60000~65000|60000~65000|60000~65000|11303|11303||-|2007.10.17~10.18|2007.10.17|2007.10.18|205:1|true|true|true|true|2007/10/26|-|%|%|130000|100%|149500
큐에스아이|6800|한국투자증권|2006.11.06~-|2006.11.06|null|2006.11.06|7500~8500|7500~8500|7500~8500|9316|9316||98.57%|2006.11.14~11.16|2006.11.14|2006.11.16|882.1:1|true|true|true|true|2006/11/24|-|%|%|13600|100%|11600
디에스씨인베스트먼트|1700|키움증권|2016.12.05~12.06|2016.12.05|2016.12.06|2016.12.05|2500~2800|2500~2800|2500~2800|10922|10922|11.2:1|-|2016.12.08~12.09|2016.12.08|2016.12.09|10.77:1|true|true|true|true|2016/12/19|-|%|%|3400|100%|3560
